ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,order_value_INR,delivery_time_minutes,status,distance_km,_approx_place,place_type
ORD0001,DP0018,35,3.7,19.187136,73.253706,19.143831,73.147786,2024-08-18,14:41:57,595.0,45.0,Delivered,12.122,Mumbai,Metro
ORD0002,DP0370,23,3.6,28.422697,76.942452,28.391331,76.811696,2024-12-01,14:44:44,381.0,56.0,Delivered,13.256,Delhi,Metro
ORD0003,DP0099,26,4.3,13.142132,77.765237,13.194121,77.882152,2024-11-19,19:01:41,661.0,54.0,Delivered,13.916,Bengaluru,Metro
ORD0004,DP0378,38,5.0,12.915568,77.669159,13.013351,77.675551,2024-03-17,20:02:52,1220.0,50.0,Delivered,10.895,Bengaluru,Metro
ORD0005,DP0305,22,4.4,18.658715,73.765779,18.751649,73.714412,2025-04-27,22:40:52,357.0,38.0,Delivered,11.664,Pune,Metro
ORD0006,DP0145,24,3.4,12.876166,80.28487,12.831465,80.281295,2025-01-05,20:03:30,357.0,19.0,Delivered,4.986,Chennai,Metro
ORD0007,DP0239,26,4.3,28.742876,77.407958,28.846746,77.399828,2025-05-07,12:05:12,1269.0,48.0,Delivered,11.577,Delhi,Metro
ORD0008,DP0002,31,4.1,13.084138,77.766545,12.968575,77.74298,2025-06-02,13:54:19,719.0,31.0,Delivered,13.101,Bengaluru,Metro
ORD0009,DP0120,30,4.8,18.504994,73.93567,18.504963,73.950928,2024-02-06,11:42:21,302.0,12.0,Delivered,1.609,Pune,Metro
ORD0010,DP0123,36,4.2,18.832957,72.564145,18.821024,72.588419,2025-08-08,22:06:15,614.0,17.0,Returned,2.879,Mumbai,Metro
ORD0011,DP0152,41,3.5,19.064006,72.923972,18.955589,72.860714,2025-01-02,13:56:06,304.0,67.0,Delayed,13.768,Mumbai,Metro
ORD0012,DP0167,28,3.6,28.966026,76.986837,28.918596,76.987873,2025-10-06,18:40:18,303.0,27.0,Delivered,5.275,Delhi,Metro
ORD0013,DP0340,32,4.2,18.853543,72.779966,18.896344,72.853998,2025-06-14,12:52:31,498.0,38.0,Delivered,9.128,Mumbai,Metro
ORD0014,DP0380,22,4.8,18.833974,72.86985,18.903983,72.802163,2024-02-18,11:54:22,110.0,35.0,Delivered,10.551,Mumbai,Metro
ORD0015,DP0284,34,4.2,28.648069,76.971833,28.570004,76.905765,2025-10-03,22:16:35,126.0,35.0,Delivered,10.814,Delhi,Metro
