ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,order_value_INR,delivery_time_minutes,status,distance_km,_approx_place,place_type,hour_sin,hour_cos,log_order_value,place_encoded,cluster_kmeans,cluster_dbscan,cluster_hdbscan,predicted_cluster_xgb,pca1,pca2
ORD0001,DP0018,35,3.7,19.187136,73.253706,19.143831,73.147786,2024-08-18,14:41:57,595.0,45.0,Delivered,12.122,Mumbai,Metro,-0.4999999999999997,-0.8660254037844388,6.39024066706535,1,2,0,1,1,1.2080141564418734,-0.34879934161350207
ORD0002,DP0370,23,3.6,28.422697,76.942452,28.391331,76.811696,2024-12-01,14:44:44,381.0,56.0,Delivered,13.256,Delhi,Metro,-0.4999999999999997,-0.8660254037844388,5.945420608606575,1,2,0,1,1,1.2984503230677926,-1.4233339081445306
ORD0003,DP0099,26,4.3,13.142132,77.765237,13.194121,77.882152,2024-11-19,19:01:41,661.0,54.0,Delivered,13.916,Bengaluru,Metro,-0.9659258262890684,0.2588190451025203,6.495265555937008,1,2,0,1,1,2.2307852458219255,-0.6515759048556737
ORD0004,DP0378,38,5.0,12.915568,77.669159,13.013351,77.675551,2024-03-17,20:02:52,1220.0,50.0,Delivered,10.895,Bengaluru,Metro,-0.8660254037844386,0.5000000000000001,7.107425474110705,1,1,-1,-1,1,2.6628277681847936,0.9268190726150798
ORD0005,DP0305,22,4.4,18.658715,73.765779,18.751649,73.714412,2025-04-27,22:40:52,357.0,38.0,Delivered,11.664,Pune,Metro,-0.5000000000000004,0.8660254037844384,5.8805329864007,1,2,0,-1,1,0.7408966180385504,-0.7150225039121055
ORD0006,DP0145,24,3.4,12.876166,80.28487,12.831465,80.281295,2025-01-05,20:03:30,357.0,19.0,Delivered,4.986,Chennai,Metro,-0.8660254037844386,0.5000000000000001,5.8805329864007,1,3,0,-1,1,-0.8466130239654297,0.8058852272805849
ORD0007,DP0239,26,4.3,28.742876,77.407958,28.846746,77.399828,2025-05-07,12:05:12,1269.0,48.0,Delivered,11.577,Delhi,Metro,1.2246467991473532e-16,-1.0,7.146772179452637,1,1,-1,-1,1,2.419115871702197,0.8392841101751567
ORD0008,DP0002,31,4.1,13.084138,77.766545,12.968575,77.74298,2025-06-02,13:54:19,719.0,31.0,Delivered,13.101,Bengaluru,Metro,-0.2588190451025208,-0.9659258262890683,6.579251212010101,1,2,0,1,1,1.1252214757629249,0.11538804782570516
ORD0009,DP0120,30,4.8,18.504994,73.93567,18.504963,73.950928,2024-02-06,11:42:21,302.0,12.0,Delivered,1.609,Pune,Metro,0.258819045102521,-0.9659258262890682,5.713732805509369,1,4,0,-1,1,-1.971470888528358,0.778346520902753
ORD0010,DP0123,36,4.2,18.832957,72.564145,18.821024,72.588419,2025-08-08,22:06:15,614.0,17.0,Returned,2.879,Mumbai,Metro,-0.5000000000000004,0.8660254037844384,6.421622267806518,1,3,0,-1,1,-0.6061400823733585,1.769670124568409
